Level 1 A-Side Cassette : loadscreen Celeste/1-ForsakenCity 11z 0
Level 2 A-Side Cassette : loadscreen Celeste/2-OldSite d9 0
Level 3 A-Side Cassette : loadscreen Celeste/3-CelestialResort 01-c 0
Level 4 A-Side Cassette : loadscreen Celeste/4-GoldenRidge a-11 0
Level 5 A-Side Cassette : loadscreen Celeste/5-MirrorTemple b-22 0
Level 6 A-Side Cassette : loadscreen Celeste/6-Reflection 04e 0
Level 7 A-Side Cassette : loadscreen Celeste/7-Summit d-03b 0
Level 9 A-Side Cassette : loadscreen Celeste/9-Core d-11 0
Level 0 A-Side Completion : loadscreen Celeste/0-Intro x1 0
Level 1 A-Side Completion : loadscreen Celeste/1-ForsakenCity s1 0
Level 1 B-Side Completion : loadscreen Celeste/1-ForsakenCity end 1
Level 1 C-Side Completion : loadscreen Celeste/1-ForsakenCity 02 2
Level 2 A-Side Completion : loadscreen Celeste/2-OldSite start 0
Level 2 B-Side Completion : loadscreen Celeste/2-OldSite start 1
Level 2 C-Side Completion : loadscreen Celeste/2-OldSite 02 2
Level 3 A-Side Completion : loadscreen Celeste/3-CelestialResort s3 0
Level 3 B-Side Completion : loadscreen Celeste/3-CelestialResort end 1
Level 3 C-Side Completion : loadscreen Celeste/3-CelestialResort 02 2
Level 4 A-Side Completion : loadscreen Celeste/4-GoldenRidge d-10 0
Level 4 B-Side Completion : loadscreen Celeste/4-GoldenRidge end 1
Level 4 C-Side Completion : loadscreen Celeste/4-GoldenRidge 02 2
Level 5 A-Side Completion : loadscreen Celeste/5-MirrorTemple void 0
Level 5 B-Side Completion : loadscreen Celeste/5-MirrorTemple start 1
Level 5 C-Side Completion : loadscreen Celeste/5-MirrorTemple 02 2
Level 6 A-Side Completion : loadscreen Celeste/6-Reflection start 0
Level 6 B-Side Completion : loadscreen Celeste/6-Reflection d-05 1
Level 6 C-Side Completion : loadscreen Celeste/6-Reflection 02 2
Level 7 A-Side Completion : loadscreen Celeste/7-Summit g-03 0
Level 7 B-Side Completion : loadscreen Celeste/7-Summit g-03 1
Level 7 C-Side Completion : loadscreen Celeste/7-Summit 03 2
Level 8 A-Side Completion : loadscreen Celeste/8-Epilogue secret 0
Level 9 A-Side Completion : loadscreen Celeste/9-Core space 0
Level 9 B-Side Completion : loadscreen Celeste/9-Core space 1
Level 9 C-Side Completion : loadscreen Celeste/9-Core intro 2
Level 10 A-Side Completion : loadscreen Celeste/LostLevels j-19 0
Level 1 A-Side Crystal Heart : loadscreen Celeste/1-ForsakenCity s1 0
Level 1 B-Side Crystal Heart : loadscreen Celeste/1-ForsakenCity end 1
Level 1 C-Side Crystal Heart : loadscreen Celeste/1-ForsakenCity 02 2
Level 2 A-Side Crystal Heart : loadscreen Celeste/2-OldSite end_s1 0
Level 2 A-Side Crystal Heart : loadscreen Celeste/2-OldSite s2 0
Level 2 B-Side Crystal Heart : loadscreen Celeste/2-OldSite end 1
Level 2 C-Side Crystal Heart : loadscreen Celeste/2-OldSite 02 2
Level 3 A-Side Crystal Heart : loadscreen Celeste/3-CelestialResort 11-c 0
Level 3 B-Side Crystal Heart : loadscreen Celeste/3-CelestialResort end 1
Level 3 C-Side Crystal Heart : loadscreen Celeste/3-CelestialResort 02 2
Level 4 A-Side Crystal Heart : loadscreen Celeste/4-GoldenRidge b-sec 0
Level 4 B-Side Crystal Heart : loadscreen Celeste/4-GoldenRidge end 1
Level 4 C-Side Crystal Heart : loadscreen Celeste/4-GoldenRidge 02 2
Level 5 A-Side Crystal Heart : loadscreen Celeste/5-MirrorTemple b-15 0
Level 5 B-Side Crystal Heart : loadscreen Celeste/5-MirrorTemple d-05 1
Level 5 C-Side Crystal Heart : loadscreen Celeste/5-MirrorTemple 02 2
Level 6 B-Side Crystal Heart : loadscreen Celeste/6-Reflection d-05 1
Level 6 C-Side Crystal Heart : loadscreen Celeste/6-Reflection 02 2
Level 7 A-Side Crystal Heart : loadscreen Celeste/7-Summit g-00b 0
Level 7 B-Side Crystal Heart : loadscreen Celeste/7-Summit g-03 1
Level 7 C-Side Crystal Heart : loadscreen Celeste/7-Summit 03 2
Level 9 A-Side Crystal Heart : loadscreen Celeste/9-Core space 0
Level 9 A-Side Crystal Heart Door : loadscreen Celeste/9-Core 02 0
Level 9 B-Side Crystal Heart : loadscreen Celeste/9-Core space 1
Level 9 B-Side Crystal Heart Door : loadscreen Celeste/9-Core 01 1
Level 9 C-Side Crystal Heart : loadscreen Celeste/9-Core 02 2
Level 9 C-Side Crystal Heart Door : loadscreen Celeste/9-Core intro 2
Level 10 A-Side Crystal Heart : loadscreen Celeste/LostLevels e-08 0
Level 10 A-Side Crystal Heart Door : loadscreen Celeste/LostLevels f-door 0
Level 1 A-Side Strawberry 1 : loadscreen Celeste/1-ForsakenCity 2 0
Level 1 A-Side Strawberry 2 : loadscreen Celeste/1-ForsakenCity 3 0
Level 1 A-Side Strawberry 3 : loadscreen Celeste/1-ForsakenCity 3b 0
Level 1 A-Side Strawberry 4 : loadscreen Celeste/1-ForsakenCity 5z 0
Level 1 A-Side Strawberry 5 : loadscreen Celeste/1-ForsakenCity 5 0
Level 1 A-Side Strawberry 6 : loadscreen Celeste/1-ForsakenCity 5a 0
Level 1 A-Side Strawberry 7 : loadscreen Celeste/1-ForsakenCity 7zb 0
Level 1 A-Side Strawberry 8 : loadscreen Celeste/1-ForsakenCity 6 0
Level 1 A-Side Strawberry 9 : loadscreen Celeste/1-ForsakenCity s1 0
Level 1 A-Side Strawberry 10 : loadscreen Celeste/1-ForsakenCity 7z 0
Level 1 A-Side Strawberry 11 : loadscreen Celeste/1-ForsakenCity 8zb 0
Level 1 A-Side Strawberry 12 : loadscreen Celeste/1-ForsakenCity 7a 0
Level 1 A-Side Strawberry 13 : loadscreen Celeste/1-ForsakenCity 9z 0
Level 1 A-Side Strawberry 14 : loadscreen Celeste/1-ForsakenCity 8b 0
Level 1 A-Side Strawberry 15 : loadscreen Celeste/1-ForsakenCity 9 0
Level 1 A-Side Strawberry 16 : loadscreen Celeste/1-ForsakenCity 10zb 0
Level 1 A-Side Strawberry 17 : loadscreen Celeste/1-ForsakenCity 11 0
Level 1 A-Side Strawberry 18 : loadscreen Celeste/1-ForsakenCity 9b 0
Level 1 A-Side Strawberry 19 : loadscreen Celeste/1-ForsakenCity 9c 0
Level 1 A-Side Strawberry 20 : loadscreen Celeste/1-ForsakenCity 12z 0
Level 2 A-Side Strawberry 1 : loadscreen Celeste/2-OldSite d3 0
Level 2 A-Side Strawberry 2 : loadscreen Celeste/2-OldSite d2 0
Level 2 A-Side Strawberry 3 : loadscreen Celeste/2-OldSite d1 0
Level 2 A-Side Strawberry 4 : loadscreen Celeste/2-OldSite d6 0
Level 2 A-Side Strawberry 5 : loadscreen Celeste/2-OldSite d0 0
Level 2 A-Side Strawberry 6 : loadscreen Celeste/2-OldSite d4 0
Level 2 A-Side Strawberry 7 : loadscreen Celeste/2-OldSite d5 0
Level 2 A-Side Strawberry 8 : loadscreen Celeste/2-OldSite d2 0
Level 2 A-Side Strawberry 9 : loadscreen Celeste/2-OldSite 1 0
Level 2 A-Side Strawberry 10 : loadscreen Celeste/2-OldSite 4 0
Level 2 A-Side Strawberry 11 : loadscreen Celeste/2-OldSite 5 0
Level 2 A-Side Strawberry 12 : loadscreen Celeste/2-OldSite 8 0
Level 2 A-Side Strawberry 13 : loadscreen Celeste/2-OldSite 9b 0
Level 2 A-Side Strawberry 14 : loadscreen Celeste/2-OldSite 9 0
Level 2 A-Side Strawberry 15 : loadscreen Celeste/2-OldSite 10 0
Level 2 A-Side Strawberry 16 : loadscreen Celeste/2-OldSite 12c 0
Level 2 A-Side Strawberry 17 : loadscreen Celeste/2-OldSite 12d 0
Level 2 A-Side Strawberry 18 : loadscreen Celeste/2-OldSite end_3c 0
Level 3 A-Side Strawberry 1 : loadscreen Celeste/3-CelestialResort s2 0
Level 3 A-Side Strawberry 2 : loadscreen Celeste/3-CelestialResort s2 0
